product_name,Price
Baseus Handheld Vacuum Cleaner,29
FORTEM Car Trunk Organizer,27
Thrive Emergency Car Kits for Vehicles,52
Bounty Paper Towels Quick Size,43
Fresh Wave Odor Eliminator Spray,8
Dyson V15 Detect Cordless Vacuum Cleaner,636
The Gold Rush (The Criterion Collection) [Blu-ray],32
Ridge Wallets for Men,95
adidas Men's Comfort Flip Flop,28
The Passion of Joan of Arc (The Criterion Collection) [Blu-ray],19
Sony WF-1000XM5 Truly Wireless Bluetooth Noise Canceling Earbuds,248
Apple TV 4K HD 32GB Streaming Media Player (Renewed),156
Peloton Indoor Exercise Bikes,1445
Valve Index VR Full Kit,1437
Tommaso La Forma Lightweight Comfortable Hybrid Bikes,649
Nootropics Depot Shoden Ashwagandha Extract Capsules,23
Spin-Clean Vinyl Record Washer Deluxe Kit,124
Fluance Turntable Platter Mat (Rubber Black),19
Baseus Handheld Vacuum Cleaner,29
FORTEM Car Trunk Organizer,27
Black Panther Luxury Faux Leather Car Seat Cover,26
Thrive Emergency Car Kits for Vehicles,52
Husky Liners Weatherbeater Floor Mats,139
Husky Liners Weatherbeater Trunk Liner,121
"Bounty Paper Towels Quick Size, White, 16 Family Rolls = 40 Regular Rolls",43
Handcraft Blends Lavender Essential Oil - Huge 4 Fl Oz - 100% Pure and Natural - Premium Grade with Glass Dropper,9
Bona Premium Microfiber Floor Mop for Dry and Wet Floor Cleaning - Includes Microfiber Cleaning Pad and Microfiber Dusting Pad - Dual Zone Cleaning Design for Faster Cleanup,19
"Dyson V15 Detect Cordless Vacuum Cleaner, Yellow/Nickel",636
"Ridge Wallets for Men - Slim Minimalist Wallet For Men, RFID Wallet For Men - Card Holder Wallet (Forest Green)",95
adidas Men's Comfort Flip Flop,28
"OluKai Ohana Men's Beach Sandals, Quick-Dry Flip-Flop Slides",75
Skechers Mens Arch Fit 2.0,53
HOKA ONE ONE Arahi 6 Men's Shoes,83
ZHILI Men's Retro Argyle Sweater Loose Crewneck Pullover Long Sleeve,39
The Gold Rush (The Criterion Collection) [Blu-ray],32
The Passion of Joan of Arc (The Criterion Collection) [Blu-ray],19
World of Wong Kar Wai (The Criterion Collection) [Blu-ray],99
The Complete Films of Agnès Varda (The Criterion Collection) [Blu-ray],156
Safety Last! (The Criterion Collection) [Blu-ray],27
Anatomy of a Fall (The Criterion Collection) [Blu-ray],19
Roberto Rossellini's War Trilogy (The Criterion Collection) [Blu-ray],49
12 Angry Men (The Criterion Collection) [Blu-ray],21
Stalker (The Criterion Collection) [Blu-ray],22
Taste of Cherry (The Criterion Collection) [Blu-ray],27
Bicycle Thieves (The Criterion Collection) [Blu-ray],19
High and Low (The Criterion Collection) [Blu-ray],19
Harakiri (The Criterion Collection) [Blu-ray],39
Ikiru (The Criterion Collection) [Blu-ray],19
"4 Months, 3 Weeks and 2 Days (The Criterion Collection) [Blu-ray]",19
Perfect Days (The Criterion Collection) [4K UHD],34
Come and See (The Criterion Collection) [Blu-ray],19
Dazed and Confused (The Criterion Collection) [4K UHD],32
Uncut Gems (The Criterion Collection) [4K UHD],24
WALL•E (The Criterion Collection) [4K UHD],40
The Irishman (The Criterion Collection) [Blu-ray],19
Nakamichi Shockwafe Ultra 9.2.4 Channel Dolby Atmos/DTS Soundbar,1499
Denon AVR-X3800H 9.4-Ch Receiver,1270
Apple TV 4K HD 32GB Streaming Media Player (Renewed),156
Sony QD-OLED 77 inch BRAVIA XR A95L Series 4K Ultra HD TV,4998
Sony WF-1000XM5 Truly Wireless Bluetooth Noise Canceling Earbuds,248
Sony HT-A7000 7.1.2ch 500W Dolby Atmos Sound Bar with SA-SW5 300W Wireless Subwoofer & SA-RS3S Wireless Rear Speakers,999
Manduka PRO Yoga Mat,107
"Peloton Indoor Exercise Bikes, Original Peloton Bike and Bike+",1445
"NordicTrack Commercial Series, Commercial 1750 Treadmill (2023 Model)",1999
Rep Fitness Rubber Hex Dumbbell(s) - 22.5 LB Pair,113
REP Fitness Tube Resistance Bands with Handles – 3 Pack,26
"Tommaso La Forma Lightweight Comfortable Hybrid Bikes, Fitness Commuter Bike",649
Apple Watch Series 9 [GPS 41mm] Smartwatch,299
Valve Index VR Full Kit,1437
"BRITA weiß Marella, XL Size, White",68
"Grenade Carb Killa Protein Bar, Caramel Chaos (Pack of 12)",44
Pukka Herbs Supreme Matcha Green Organic Herbal Tea (80 Tea Bags),22
"Philips Sonicare 9900 Prestige Rechargeable Electric Power Toothbrush, Midnight",379
"Waterpik Aquarius Water Flosser Professional, Black WP-662",59
"Waiākea Hawaiian Volcanic Water (24 Pack, 16.9 Fl Oz)",38
"LEVOIT Classic300S Ultrasonic Smart Top Fill Humidifier, 6L",59
Vicks EasyCare Plus Top Fill Filter-Free Cool Mist Humidifier,59
FlexiKold Gel Ice Pack (Standard Large),24
"One Piece, Vol. 3: Don't Get Fooled Again",9
"Assassination Classroom, Vol. 1 (1)",10
"Hunter x Hunter, Vol. 1",9
"your name., Vol. 1 (manga)",11
"Horimiya, Vol. 1 (Horimiya, 1)",7
My Dress-Up Darling 01,11
"Socialism: Utopian and Scientific by Frederick Engels, Edward Aveling (Paperback)",5
State and Revolution by Vladimir Ilich Lenin (Paperback),4
Reform or Revolution by Rosa Luxemburg (Paperback),10
Escape from Freedom by Erich Fromm (Paperback),13
"Women, Race & Class by Angela Y. Davis (Paperback)",11
Blackshirts and Reds: Rational Fascism and the Overthrow of Communism by Michael Parenti (Paperback),14
The Revolution Betrayed by Leon Trotsky (Paperback),8
"How Europe Underdeveloped Africa by Walter Rodney, Angela Davis (Paperback)",16
"The Black Jacobins: Toussaint L'Ouverture and the San Domingo Revolution by C.L.R. James, David Scott Scott (Paperback)",16
The Making of the English Working Class by E. P. Thompson (Paperback),15
"On The Reproduction Of Capitalism: Ideology And Ideological State Apparatuses by Louis Althusser, G. M. Goshgarian (Paperback)",22
"Selections from the Prison Notebooks of Antonio Gramsci by Antonio Gramsci, Quintin Hoare (Paperback)",19
Marxism and Literature (Marxist Introductions) by Raymond Williams (Paperback),19
"Dialectic of Enlightenment (Cultural Memory in the Present) by Max Horkheimer, Theodor W. Adorno (Paperback)",20
"History and Class Consciousness: Studies in Marxist Dialectics by Georg Lukács, Rodney Livingstone (Paperback)",50
"Postmodernism, or, The Cultural Logic of Late Capitalism (Post-Contemporary Interventions) by Fredric Jameson (Paperback)",30
"Capital: A Critique of Political Economy (Penguin Classics) (Volume 2) by Karl Marx, David Fernbach (Paperback)",16
"Capital: A Critique of Political Economy, Vol. 3 (Penguin Classics) by Karl Marx, David Fernbach (Paperback)",17
"Uniball Jetstream RT 12 Pack, 0.7mm - Black Ballpoint Pens",18
Ring Battery Doorbell Plus (2023 release),119
RØDE NT1 5th Generation Large-diaphragm Studio Condenser Microphone,249
DELTAHUB Carpio 2.0 - Right-Handed Ergonomic Wrist Rest,39
SAMSUNG T7 Shield 4TB Portable SSD,319
"Herman Miller Aeron Ergonomic Chair - Size C, Graphite",1559
Uplift Bamboo Curve Electric Standing Desk V2-Commercial (Black),1588
tomtoc 360° Protective Laptop Sleeve for 13-inch MacBook Air,26
Apple 2024 MacBook Air 13-inch Laptop with M3 chip,1299
Stylish Blue Light Blocking Glasses by Benicci,19
TP-Link AX1800 WiFi 6 Extender,93
Epson EcoTank ET-3850 Wireless Color All-in-One Cartridge-Free Supertank Printer,319
Milwaukee 2904-22 12V 1/2'' Hammer Drill/Driver Kit,233
Lineco Books by Hand pH Neutral Adhesive,13
HyperX Wrist Rest - Full Sized,19
Noctua NF-P12 redux-1700 PWM High Performance Cooling Fan,15
Thermalright Phantom Spirit 120 EVO CPU Cooler,49
SAMSUNG 970 EVO Plus SSD 2TB,151
Seasonic Prime TX-1300 Power Supply,463
Cooler Master Silencio S600 ATX Mid-Tower,131
ARCTIC Case Fan Hub,9
Thermal Grizzly Conductonaut Thermal Grease,17
Keychron Q5 Max Wireless Custom Mechanical Keyboard,239
Razer Kiyo Pro Ultra 4K Webcam,259
Razer Nommo V2 Pro PC Gaming Speakers,449
